Time,UHR_MAER_EnKF,UHR_MAE_EnKF,UHR_SSIMLoss_EnKF,UHR_MAER_EnKF(HR),UHR_MAE_EnKF(HR),UHR_SSIMLoss_EnKF(HR),UHR_MAER_SRDA,UHR_MAE_SRDA,UHR_SSIMLoss_SRDA,HR_MAER_EnKF,HR_MAE_EnKF,HR_SSIMLoss_EnKF,HR_MAER_EnKF(HR),HR_MAE_EnKF(HR),HR_SSIMLoss_EnKF(HR),HR_MAER_SRDA,HR_MAE_SRDA,HR_SSIMLoss_SRDA,LR_MAER_EnKF,LR_MAE_EnKF,LR_SSIMLoss_EnKF,LR_MAER_EnKF(HR),LR_MAE_EnKF(HR),LR_SSIMLoss_EnKF(HR),LR_MAER_SRDA,LR_MAE_SRDA,LR_SSIMLoss_SRDA
13.5,0.4564491,1.06563,0.032746315,0.48838973,1.1401988,0.043516517,0.37397024,0.8730741,0.028283536,0.45671025,1.066736,0.280111,0.48734012,1.138278,0.3020273,0.37430745,0.8742681,0.22416133,0.4593125,1.0764412,0.14099449,0.48621804,1.1394968,0.19539726,0.36681664,0.8596686,0.10251933
13.75,0.49013907,1.146221,0.03392005,0.5153501,1.2051786,0.043460727,0.39601755,0.926112,0.027630985,0.4907077,1.1482772,0.29043448,0.5148857,1.2048547,0.3186587,0.39617422,0.9270647,0.2291925,0.49040386,1.154851,0.15005416,0.51068056,1.2026005,0.19392383,0.38524577,0.9072144,0.1144259
14.0,0.3791304,0.8871608,0.026918113,0.48738718,1.1404804,0.040166855,0.35193533,0.8235246,0.025035858,0.37949088,0.8887084,0.22633463,0.4865371,1.1393939,0.30611986,0.3524635,0.82541454,0.21521854,0.3795725,0.8931733,0.097851574,0.48661283,1.1450502,0.17688286,0.3515964,0.82734257,0.09381646
14.25,0.37035277,0.8663921,0.025758207,0.50246465,1.1754506,0.03853798,0.36111498,0.84478146,0.02460742,0.37071005,0.86784136,0.2202819,0.50165653,1.1743903,0.30059457,0.36152864,0.84634745,0.21165448,0.37829435,0.88987243,0.09211367,0.49157354,1.1563423,0.16716832,0.36753508,0.8645631,0.094653904
14.5,0.36603975,0.8572977,0.02411896,0.51130456,1.1975209,0.03702122,0.37183264,0.8708652,0.02296251,0.36599174,0.85760134,0.2181353,0.51104164,1.197486,0.28898716,0.37210798,0.8719331,0.20465696,0.365959,0.85936254,0.09394568,0.5117627,1.2017457,0.16320974,0.3732565,0.87649894,0.088968456
14.75,0.37465352,0.8816404,0.021203637,0.51629895,1.2149625,0.03153485,0.35751238,0.8413036,0.020447135,0.3746529,0.88209176,0.21001846,0.51582944,1.2144812,0.27141184,0.35728592,0.84120256,0.19968867,0.38283482,0.90578645,0.09761447,0.5124656,1.2124926,0.1668325,0.35791597,0.84682846,0.09595704
15.0,0.33293748,0.78733456,0.020121515,0.48417792,1.1449898,0.034684837,0.26941618,0.63711864,0.015348375,0.33333048,0.78864604,0.1977104,0.48320556,1.1432443,0.2811851,0.2695701,0.6377917,0.15759677,0.33621493,0.80108094,0.08448738,0.48452306,1.1544466,0.17104763,0.26416078,0.62940145,0.07109392
15.25,0.36487517,0.8662179,0.022932172,0.4902381,1.163831,0.033468843,0.28809184,0.6839334,0.016088903,0.36561978,0.86853004,0.218633,0.4898012,1.1635231,0.28001583,0.28851157,0.6853594,0.17866457,0.37005576,0.8851726,0.10468435,0.48445085,1.1588054,0.17663908,0.28641894,0.6851135,0.082467794
15.5,0.3987786,0.94963616,0.025294602,0.49964127,1.1898267,0.03281796,0.30109334,0.7170122,0.01772976,0.3993051,0.9518956,0.22485656,0.4995695,1.1909139,0.29101843,0.30171543,0.7192535,0.1916014,0.41068503,0.9972257,0.11900413,0.5000274,1.214167,0.18469131,0.29468518,0.7155548,0.09129399
15.75,0.43036318,1.0265951,0.028265655,0.51482385,1.228069,0.032137275,0.30429962,0.72588116,0.018586576,0.43088034,1.029067,0.24938679,0.5146133,1.2290455,0.29071635,0.30525056,0.72902673,0.18623888,0.4311589,1.0454046,0.14038944,0.5058686,1.2265487,0.18829459,0.29866362,0.7241514,0.091338456
